,SERVICE,PART_NAME
0,Drivetrain-Brakes-Rebuild,['Kit - Drivetrain and Steering']
1,Drivetrain-Differential-Repair,['Grease']
7,Drivetrain-Axle-Rebuild,['Driveshafts and Joint Groups']
8,Drivetrain-Brakes-Rebuild,['Master Cylinders']
11,Drivetrain-Brakes-Rebuild,['Kit - Maintenance']
24,Drivetrain-Brakes-Rebuild,"['Bars', 'Plates and Strips']"
25,Drivetrain-Differential-Repair,['No Data']
32,Drivetrain-Brakes-Rebuild,"['Seals', 'Gaskets', 'O-Rings']"
50,Drivetrain-Brakes-Repair,['Bolts and Screws']
62,Drivetrain-Axle-Rebuild,['Bearings']
73,Drivetrain-Brakes-Rebuild,['Hyd Cylinder Piston']
74,Engine-Injector Group-Rebuild,['Caps and Plugs']
77,Drivetrain-Axle-Rebuild,['Shafts']
80,Drivetrain-Brakes-Rebuild,['Springs']
84,Engine-Water Pump Group-Rebuild,['Water Pumps']
91,Drivetrain-Axle-Rebuild,['Trunnions']
97,Drivetrain-Brakes-Rebuild,['Gaskets']
106,Drivetrain-Brakes-Rebuild,['Fasteners Studs']
135,Drivetrain-Brakes-Repair,"['Seals', 'Gaskets', 'O-Rings']"
175,Drivetrain-Differential-Repair,['Bolts and Screws']
183,Engine-Turbo Group-Rebuild,['Turbos and Turbo Groups']
241,Drivetrain-Brakes-Repair,['Fasteners Studs']
243,Drivetrain-Axle-Rebuild,['Thrust Washers']
255,Engine-Injector Group-Rebuild,['Kit - Engines']
260,Drivetrain-Axle-Rebuild,['Trunnion Supports']
272,Drivetrain-Brakes-Rebuild,['Kit - Hydraulics']
281,Drivetrain-Brakes-Repair,['Washers and Spacers']
284,Engine-Injector Group-Rebuild,"['Seals', 'Gaskets', 'O-Rings']"
303,Drivetrain-Brakes-Rebuild,['Brake Anchor']
314,Drivetrain-Axle-Rebuild,['Spindles']
315,Drivetrain-Brakes-Rebuild,"['Hose adapters', 'Kit - Hydraulics']"
316,Drivetrain-Brakes-Repair,['Threaded Bosses']
324,Drivetrain-Differential-Repair,['Washers and Spacers']
367,Drivetrain-Axle-Rebuild,['Gears']
382,Drivetrain-Brakes-Repair,['Valve Cartridges']
427,Drivetrain-Axle-Rebuild,['Shims']
461,Drivetrain-Brakes-Repair,['Joystick Components']
466,Engine-Engine cooling system-Replacement,['Thermostat']
478,Drivetrain-Brakes-Repair,['Bearings']
548,Drivetrain-Brakes-Rebuild,['Friction Discs']
551,Engine-Injector Group-Rebuild,['Injectors']
584,Drivetrain-Brakes-Rebuild,['Hose adapters']
633,Drivetrain-Brakes-Rebuild,"['Gaskets', 'Kit - Maintenance', 'O-Rings', 'Seals']"
639,Drivetrain-Brakes-Rebuild,"['Kit - Maintenance', 'No Data']"
645,Engine-Turbo Group-Rebuild,['Kit - Engines']
657,Drivetrain-Differential-Repair,['Shims']
665,Drivetrain-Axle-Rebuild,['Planet Carriers']
677,Drivetrain-Brakes-Repair,['Linkage Pins']
769,Drivetrain-Brakes-Repair,['Caps and Plugs']
777,Drivetrain-Brakes-Rebuild,"['Gaskets', 'O-Rings', 'Seals', 'Springs']"
794,Drivetrain-Differential-Repair,['Duo Cone Group']
822,Drivetrain-Brakes-Rebuild,['Bolts and Screws']
831,Drivetrain-Brakes-Repair,['Retaining Pins']
